{'use_physical': True, 'iter_num': 20000, 'train_batch_size': 4, 'last_iter': 0, 'lr': 0.0002, 'lr_decay': 0.9, 'weight_decay': 2e-05, 'momentum': 0.9, 'snapshot': '', 'val_freq': 1000, 'crop_size': 512}

[iter 124], [train loss 0.54933], [loss_x_fusion 0.10424], [loss_x_j1 0.10906], [loss_x_j2 0.11410], [loss_x_j3 0.11613], [loss_x_j4 0.10581], [lr 0.0001988926588]
[iter 125], [train loss 0.56588], [loss_x_fusion 0.10874], [loss_x_j1 0.11382], [loss_x_j2 0.11560], [loss_x_j3 0.11713], [loss_x_j4 0.11059], [lr 0.0001988836533]
[iter 126], [train loss 0.58545], [loss_x_fusion 0.11230], [loss_x_j1 0.11645], [loss_x_j2 0.12023], [loss_x_j3 0.12320], [loss_x_j4 0.11327], [lr 0.0001988746476]
[iter 127], [train loss 0.56630], [loss_x_fusion 0.10572], [loss_x_j1 0.10776], [loss_x_j2 0.12370], [loss_x_j3 0.12347], [loss_x_j4 0.10565], [lr 0.0001988656420]
[iter 128], [train loss 0.55491], [loss_x_fusion 0.10372], [loss_x_j1 0.10558], [loss_x_j2 0.12107], [loss_x_j3 0.12083], [loss_x_j4 0.10371], [lr 0.0001988566362]
[iter 129], [train loss 0.56968], [loss_x_fusion 0.10672], [loss_x_j1 0.10547], [loss_x_j2 0.12904], [loss_x_j3 0.11999], [loss_x_j4 0.10846], [lr 0.0001988476305]
[iter 130], [train loss 0.56322], [loss_x_fusion 0.10540], [loss_x_j1 0.10475], [loss_x_j2 0.12044], [loss_x_j3 0.12665], [loss_x_j4 0.10597], [lr 0.0001988386247]
[iter 131], [train loss 0.57763], [loss_x_fusion 0.10908], [loss_x_j1 0.10862], [loss_x_j2 0.12324], [loss_x_j3 0.12764], [loss_x_j4 0.10904], [lr 0.0001988296188]
[iter 132], [train loss 0.58165], [loss_x_fusion 0.10753], [loss_x_j1 0.10639], [loss_x_j2 0.13052], [loss_x_j3 0.13069], [loss_x_j4 0.10651], [lr 0.0001988206129]
[iter 133], [train loss 0.57419], [loss_x_fusion 0.10336], [loss_x_j1 0.10189], [loss_x_j2 0.13585], [loss_x_j3 0.13146], [loss_x_j4 0.10163], [lr 0.0001988116070]
[iter 134], [train loss 0.59160], [loss_x_fusion 0.10911], [loss_x_j1 0.10879], [loss_x_j2 0.13415], [loss_x_j3 0.13177], [loss_x_j4 0.10778], [lr 0.0001988026010]
